title,Date,word_count,JustClean,JustAfford,JustReliable,JustSustain,JustModern,CleanSent,AffordSent,ReliableSent,SustainSent,ModernSent,GreenJobSent,ScientistSent
['Energy Research and Development Corporation: Funding'],1998-03-02,102490,2,1,3,2,5,0,1,0,0,0,0,0
"['Parliament House: Energy Efficiency', 'Department of Primary Industries and Energy: Charities', 'Department of Primary Industries and Energy: Consultants']",1998-03-03,99502,3,2,0,3,2,0,0,0,1,0,0,0
['Energy Research and Development Corporation: Funding'],1998-03-04,110139,4,0,0,1,3,0,0,0,0,0,0,0
"['Minister for Resources and Energy', 'Minister for Resources and Energy', 'Minister for Resources and Energy', 'Minister for Resources and Energy', 'Minister for Resources and Energy', 'Minister for Resources and Energy', 'Minister for Resources and Energy', 'Minister for Resources and Energy', 'Minister for Resources and Energy']",1998-03-11,113407,10,1,1,1,6,4,0,0,0,0,1,0
"['Minister for Resources and Energy', 'Minister for Resources and Energy', 'Minister for Resources and Energy', 'Minister for Resources and Energy', 'Minister for Resources and Energy', 'Minister for Resources and Energy', 'Minister for Resources and Energy', 'Minister for Resources and Energy', 'Minister for Resources and Energy']",1998-03-12,100372,3,8,2,2,2,0,0,0,0,0,0,0
"['Minister for Resources and Energy', 'Minister for Resources and Energy', 'Minister for Resources and Energy', 'Minister for Resources and Energy', 'Minister for Resources and Energy', 'Minister for Resources and Energy', 'Minister for Resources and Energy']",1998-03-23,78381,2,0,0,1,2,0,0,0,0,0,0,1
"['Minister for Resources and Energy', 'Minister for Resources and Energy', 'Minister for Resources and Energy', 'Minister for Resources and Energy', 'Minister for Resources and Energy', 'Department of Primary Industries and Energy: Australian Chamber of Commerce and Industry Grants']",1998-03-24,68771,2,1,4,2,2,0,0,0,0,0,0,0
"['Minister for Resources and Energy', 'Minister for Resources and Energy', 'Minister for Resources and Energy', 'Minister for Resources and Energy']",1998-03-25,115759,6,2,0,0,6,0,0,0,0,0,0,0
"['Minister for Resources and Energy', 'Minister for Resources and Energy', 'Minister for Resources and Energy']",1998-03-26,101251,1,2,2,5,3,0,0,0,1,0,0,0
"['Minister for Resources and Energy', 'Minister for Resources and Energy', 'Energy Research and Development Corporation']",1998-03-30,85786,11,0,5,4,7,2,0,0,0,0,0,0
"['Overseas Agriculture, Resources and Energy Mission to Europe and Korea']",1998-03-31,70937,1,0,2,5,4,0,0,1,0,0,0,0
['Department of Primary Industries and Energy: Labour Hire Firms'],1998-05-28,110589,5,0,1,8,5,0,0,0,0,0,0,0
"['Energy Research and Development Corporation: Funding', 'Department of Primary Industries and Energy: Funding and Grants to the Electoral Division of Oxley']",1998-07-15,117672,4,0,1,20,1,0,0,0,0,0,0,0
['Alternative Energy Sources'],1998-11-23,77563,3,5,0,4,6,0,0,1,1,0,0,0
['Transport: Renewable Energy'],1998-12-01,59716,0,1,1,3,7,0,0,0,0,0,0,0
"['Department of Industry, Science and Resources: Hungarian Nuclear Energy Needs']",1999-05-11,68194,1,0,1,3,1,0,0,0,0,0,0,0
['Taxation Reform: Renewable Energy'],1999-06-01,68234,5,3,1,7,4,0,0,0,1,0,0,0
['Tidal Energy Station'],1999-06-28,76933,11,6,6,17,6,6,0,2,3,0,0,0
['Latrobe Valley: Relocation of Eastern Energy'],1999-08-30,80802,0,1,1,6,5,0,0,0,0,0,0,0
['Tasmania: Energy'],1999-09-22,127790,3,0,4,2,8,1,1,1,0,0,0,0
['Alternative Energy'],2000-08-31,109877,2,0,0,2,10,0,0,0,0,0,0,0
['Renewable Energy Legislation'],2000-11-30,72430,1,0,0,0,3,0,0,0,0,1,0,0
['Renewable Energy Commercialisation Program: Hot Rock Energy'],2001-02-06,89628,4,1,0,0,1,3,1,0,0,0,0,0
['Renewable Energy Resources'],2001-04-02,83401,1,0,3,8,7,0,0,0,0,1,0,0
['Sustainable Energy Development Authority: Green Power Program'],2001-05-22,82016,1,1,1,6,3,0,0,0,3,0,0,0
['Alternative Energy: Geothermal'],2002-02-18,78483,2,3,3,4,4,1,0,0,1,0,0,0
"['Energy Market Reform', 'Kalgoorlie Electorate: Derby Tidal Energy']",2002-03-20,149583,8,6,2,6,16,4,0,1,0,0,0,0
['Energy Credits Scheme'],2002-05-30,105969,5,1,1,6,8,2,0,0,0,1,2,0
['Environment: Renewable Energy'],2002-06-25,63560,1,1,0,4,7,1,0,0,1,0,0,0
"['Nuclear Energy: Lucas Heights Reactor', 'Newcastle Electorate: Energy Australia Stadium']",2002-06-27,146630,1,3,0,14,1,0,0,0,1,0,0,1
"['Department of Industry, Tourism and Resources: Energy and Environment Division Funding', 'Department of Industry, Tourism and Resources: International Energy Branch Structure', 'Commonwealth Scientific and Industrial Research Organisation: Energy Review Project', 'Environment: Renewable Energy']",2002-08-19,171734,4,4,4,41,6,2,0,0,1,0,1,0
"['Department of Industry, Tourism and Resources: International Energy Branch', 'Centre for the Analysis and Dissemination of Demonstrated Energy Technologies']",2002-10-14,29375,2,0,2,1,0,1,0,0,0,0,0,0
['Nuclear Energy: Lucas Heights Reactor'],2003-03-04,58498,2,3,0,0,3,0,0,0,0,0,0,0
['Environment: Alternative Energy'],2003-03-06,93204,6,2,1,19,5,11,0,0,5,0,0,0
['Nuclear Energy: Lucas Heights Reactor'],2003-03-26,154983,22,13,3,7,4,51,1,1,1,1,0,0
['Environment: Renewable Energy'],2003-06-05,102101,5,23,0,1,0,2,0,0,0,0,0,0
['Transport: Vehicle Energy Efficiency'],2003-08-11,122987,7,6,3,14,5,0,0,0,1,2,0,0
['Nuclear Energy: Lucas Heights Reactor'],2003-09-08,105557,0,0,4,6,5,0,0,1,0,1,0,0
"['Nuclear Energy: Lucas Heights Reactor', 'Nuclear Energy: Lucas Heights Reactor']",2003-09-15,81764,9,5,0,5,8,6,0,0,2,1,0,1
['Nuclear Energy: Lucas Heights Reactor'],2003-11-03,99129,2,8,0,3,9,0,0,0,1,0,0,0
['Environment: Wind Energy'],2003-11-24,122468,3,6,1,14,6,0,0,0,0,0,5,0
['Environment: Renewable Energy'],2004-03-11,95219,4,23,2,17,11,0,1,0,0,0,0,0
"['Howard Government: Energy White Paper', 'Nuclear Energy: Waste Storage']",2004-06-15,121593,5,15,10,14,5,9,7,12,8,0,0,0
['Environment: Renewable Energy'],2004-06-17,90504,3,2,3,1,11,2,3,2,1,0,0,0
['Howard Government: Energy Policy'],2004-06-21,95965,7,3,0,16,4,1,0,0,3,1,0,0
