Debates,Date,word_count,JustClean,JustAfford,JustReliable,JustSustain,JustModern,CleanSent,AffordSent,ReliableSent,SustainSent,ModernSent,GreenJobSent,ScientistSent
Energy Efficiency ,2007-01-08,222,0,0,0,0,0,0,0,0,0,0,0,0
Wind Energy ,2007-01-18,1161,0,0,0,0,0,0,0,0,0,0,0,0
Local Planning Authorities (Energy and Energy Efficiency) Bill ,2007-01-19,4538,0,0,0,13,0,0,0,0,3,0,0,0
"Energy Costs ,Green Energy Generation ",2007-01-23,11858,0,2,0,0,0,0,0,0,2,0,0,0
Energy Saving (Daylight) Bill ,2007-01-26,38100,0,0,1,0,3,1,0,0,0,1,0,0
"Energy Consumption ,Renewable Energy ",2007-02-01,1488,0,0,0,0,0,0,0,0,0,0,0,0
Energy White Paper ,2007-02-22,3077,1,0,0,0,0,1,0,0,0,0,0,0
Energy Review ,2007-03-21,628,1,0,0,1,0,1,0,0,1,0,0,0
"Energy Policy ,Renewable Energy ",2007-03-22,1815,0,0,0,0,0,0,0,0,0,0,0,0
LOCAL PLANNING AUTHORITIES (ENERGY AND ENERGY EFFICIENCY) BILL ,2007-04-20,35,0,0,0,0,0,0,0,0,0,0,0,0
Energy Efficient Homes ,2007-05-08,975,0,2,0,1,0,0,1,0,0,0,0,0
UK Atomic Energy Authority ,2007-05-09,13218,5,0,1,0,0,1,0,0,0,0,0,0
Food Waste to Energy ,2007-05-22,3473,0,0,0,1,1,0,0,0,2,0,0,0
Energy White Paper ,2007-05-23,9529,3,2,0,3,1,2,2,0,0,0,0,0
Energy Efficiency ,2007-06-04,542,0,0,0,0,1,0,0,0,0,0,0,0
Energy White Paper ,2007-06-07,356,0,0,0,0,0,0,0,0,0,0,0,0
Energy White Paper ,2007-06-12,569,0,0,0,0,0,0,0,0,0,0,0,0
Energy White Paper ,2007-06-21,1117,0,0,0,1,0,0,0,0,0,0,0,0
Energy Markets (Carbon Reduction and Warm Homes) ,2007-06-26,1429,1,0,0,4,0,1,0,0,4,0,0,0
Energy Efficiency ,2007-07-10,883,0,0,1,2,0,0,0,1,0,0,0,0
Renewable Energy ,2007-07-19,1634,0,0,0,0,0,0,0,0,0,0,0,0
Pre-payment Energy Meters ,2007-10-08,3175,1,1,0,0,0,1,2,0,0,0,0,0
Energy Tariffs ,2007-10-11,287,0,0,0,0,0,0,0,0,0,0,0,0
Renewable Energy (Public Buildings) ,2007-11-22,858,0,0,0,2,0,0,0,0,1,0,0,0
Energy Policy ,2007-11-27,12923,47,0,2,3,2,22,0,4,3,2,0,0
UK Energy Policy ,2008-01-10,9439,5,3,0,2,0,5,3,0,1,0,0,0
Energy-efficient Homes ,2008-01-15,413,0,0,0,0,0,0,0,0,0,0,0,0
Energy Supply ,2008-01-17,1821,0,0,0,0,0,0,0,0,0,0,0,0
"Energy Bill ,Energy Bill [money] ",2008-01-22,57941,16,3,7,21,4,10,4,6,17,1,4,0
Planning and Energy Bill ,2008-01-25,20272,2,4,0,12,4,0,0,0,3,1,0,0
"Energy Efficiency ,Low-Energy Light Bulbs ",2008-01-31,1839,0,0,0,0,0,0,0,0,0,0,0,0
Energy Regulations (Consumer Prices) ,2008-02-05,12322,0,0,0,2,0,0,1,0,0,0,0,0
Energy Saving (Daylight) Bill ,2008-03-07,3626,0,0,0,0,0,0,0,0,0,0,0,0
Energy Prices ,2008-04-24,2057,0,0,0,0,0,0,0,0,0,0,0,0
public sector buildings (energy performance) bill ,2008-04-25,23,0,0,0,0,0,0,0,0,0,0,0,0
Energy Bill ,2008-04-30,53500,7,0,3,10,3,6,0,5,7,1,0,0
Planning and Energy Bill ,2008-05-09,37891,0,16,0,18,5,0,3,0,7,1,0,0
Renewable Energy ,2008-05-22,314,0,0,0,0,0,0,0,0,0,0,0,0
Energy from Renewable Resources ,2008-06-03,13987,0,0,1,4,0,0,1,0,11,0,0,0
public sector buildings (energy performance) Bill ,2008-06-06,23,0,0,0,0,0,0,0,0,0,0,0,0
Low Energy Technology ,2008-06-12,483,0,0,0,0,0,0,0,0,0,0,0,0
Energy Security ,2008-06-30,23664,15,2,7,4,1,4,3,6,8,1,1,0
Energy Costs ,2008-07-10,486,0,0,0,0,0,0,0,0,0,0,0,0
Energy Efficiency ,2008-10-07,176,0,0,0,0,0,0,0,0,0,0,0,0
"Department of Energy and Climate Change ,Energy Providers 2008-10-16 (1).txt,Energy Providers ",2008-10-16,24161,8,4,0,8,1,4,5,0,4,1,0,0
