File,Date,word_count,JustClean,JustAfford,JustReliable,JustSustain,JustModern,CleanSent,AffordSent,ReliableSent,SustainSent,ModernSent,GreenJobSent,ScientistSent
https://data.oireachtas.ie/akn/ie/debateRecord/dail/1998-04-23/debate/mul@/main.xml,1998-04-23,46599,2,0,0,3,5,0,0,0,0,0,0,0
https://data.oireachtas.ie/akn/ie/debateRecord/dail/2006-04-06/debate/mul@/main.xml,2006-04-06,99170,0,10,1,15,5,1,0,2,8,0,0,0
https://data.oireachtas.ie/akn/ie/debateRecord/dail/2006-04-25/debate/mul@/main.xml,2006-04-25,220580,3,3,5,29,6,0,1,2,11,0,2,0
https://data.oireachtas.ie/akn/ie/debateRecord/dail/2006-05-04/debate/mul@/main.xml,2006-05-04,96884,7,86,2,38,6,4,4,1,14,0,0,0
https://data.oireachtas.ie/akn/ie/debateRecord/dail/2006-05-18/debate/mul@/main.xml,2006-05-18,104196,6,1,0,16,2,3,1,1,10,1,0,0
https://data.oireachtas.ie/akn/ie/debateRecord/dail/2006-05-24/debate/mul@/main.xml,2006-05-24,131005,1,24,2,10,9,1,1,0,1,0,0,0
https://data.oireachtas.ie/akn/ie/debateRecord/dail/2006-10-18/debate/mul@/main.xml,2006-10-18,126153,3,1,0,5,5,2,0,0,1,0,0,0
https://data.oireachtas.ie/akn/ie/debateRecord/dail/2006-10-25/debate/mul@/main.xml,2006-10-25,117686,1,7,0,15,2,0,0,0,13,0,0,1
https://data.oireachtas.ie/akn/ie/debateRecord/dail/2006-11-15/debate/mul@/main.xml,2006-11-15,124244,4,6,4,10,12,0,0,1,7,4,1,0
https://data.oireachtas.ie/akn/ie/debateRecord/dail/2006-11-28/debate/mul@/main.xml,2006-11-28,169975,4,1,3,6,9,0,0,0,1,0,0,1
https://data.oireachtas.ie/akn/ie/debateRecord/dail/2006-12-07/debate/mul@/main.xml,2006-12-07,87210,1,8,1,23,3,3,2,0,10,0,0,0
https://data.oireachtas.ie/akn/ie/debateRecord/dail/2006-12-14/debate/mul@/main.xml,2006-12-14,139719,4,0,0,18,9,1,0,0,5,1,0,0
https://data.oireachtas.ie/akn/ie/debateRecord/dail/2008-05-14/debate/mul@/main.xml,2008-05-14,109554,0,7,1,17,10,0,0,0,1,0,0,0
https://data.oireachtas.ie/akn/ie/debateRecord/dail/2010-02-09/debate/mul@/main.xml,2010-02-09,172572,1,3,0,16,6,1,1,0,1,0,0,0
https://data.oireachtas.ie/akn/ie/debateRecord/dail/2010-03-04/debate/mul@/main.xml,2010-03-04,79654,0,0,2,3,5,0,0,0,0,0,0,0
https://data.oireachtas.ie/akn/ie/debateRecord/dail/2010-03-09/debate/mul@/main.xml,2010-03-09,123709,3,1,3,12,2,1,2,0,2,0,2,0
https://data.oireachtas.ie/akn/ie/debateRecord/dail/2010-03-23/debate/mul@/main.xml,2010-03-23,154664,3,2,2,26,8,0,2,0,3,1,4,1
https://data.oireachtas.ie/akn/ie/debateRecord/dail/2010-04-22/debate/mul@/main.xml,2010-04-22,95924,13,45,4,14,2,6,1,2,8,0,1,1
https://data.oireachtas.ie/akn/ie/debateRecord/dail/2010-05-11/debate/mul@/main.xml,2010-05-11,149246,0,3,1,15,3,0,4,1,5,0,0,0
https://data.oireachtas.ie/akn/ie/debateRecord/dail/2010-05-12/debate/mul@/main.xml,2010-05-12,136230,4,3,0,14,13,2,0,0,7,0,1,0
https://data.oireachtas.ie/akn/ie/debateRecord/dail/2010-05-25/debate/mul@/main.xml,2010-05-25,184452,1,5,1,21,10,0,6,0,8,0,0,0
https://data.oireachtas.ie/akn/ie/debateRecord/dail/2010-06-03/debate/mul@/main.xml,2010-06-03,99327,1,1,0,4,3,0,0,0,1,0,0,0
https://data.oireachtas.ie/akn/ie/debateRecord/dail/2010-12-16/debate/mul@/main.xml,2010-12-16,147027,6,2,4,26,6,3,2,0,4,0,3,0
https://data.oireachtas.ie/akn/ie/debateRecord/dail/2011-10-26/debate/mul@/main.xml,2011-10-26,108835,0,3,0,11,6,0,0,0,1,0,0,0
https://data.oireachtas.ie/akn/ie/debateRecord/dail/2011-11-08/debate/mul@/main.xml,2011-11-08,176392,2,3,2,25,5,0,1,0,3,0,0,0
https://data.oireachtas.ie/akn/ie/debateRecord/dail/2011-11-15/debate/mul@/main.xml,2011-11-15,191020,1,6,2,18,10,0,6,0,3,0,0,0
