Word,Freq,Ignore,Bigram,Freq_b
job,1664.0,,green job,627
energy,1091.0,,greenhouse gas,183
green,1070.0,,clean energy,124
new,308.0,,energy efficiency,104
state,265.0,,gas emission,97
program,256.0,,green energy,96
gas,241.0,,green collar,78
economy,204.0,,collar job,76
create,200.0,,united state,75
million,198.0,,renewable energy,71
clean,193.0,,loan guarantee,63
greenhouse,190.0,,job creation,60
industry,182.0,,energy job,57
emission,169.0,,new green,48
technology,164.0,,create job,48
cost,143.0,,job green,47
thank,143.0,,energy security,39
economic,142.0,,million job,39
renewable,139.0,,job created,39
think,136.0,,department energy,36
efficiency,135.0,,job training,36
time,130.0,,reduce greenhouse,35
going,127.0,,blue collar,35
opportunity,126.0,,create green,31
project,125.0,,cap trade,31
chairman,125.0,,energy technology,30
people,124.0,,climate change,29
training,124.0,,natural gas,29
bill,123.0,,job development,29
building,123.0,,prepared statement,28
development,118.0,,collar green,28
collar,117.0,,energy cost,27
reduce,116.0,,creating job,26
country,115.0,,good paying,26
percent,114.0,,energy saving,25
worker,114.0,,job new,25
good,112.0,,new job,24
work,111.0,,manufacturing job,24
make,109.0,,green economy,24
know,108.0,,green building,24
policy,107.0,,new economy,24
act,105.0,,create million,23
need,104.0,,paying job,23
power,103.0,,power plant,23
sector,99.0,,president obama,22
investment,99.0,,air pollutant,21
support,98.0,,energy policy,21
creating,97.0,,energy efficient,21
government,97.0,,creating green,21
want,96.0,,ranking member,21
loan,95.0,,energy sector,21
committee,95.0,,guarantee program,20
department,93.0,,green technology,20
many,89.0,,thank chairman,20
national,88.0,,training program,20
created,88.0,,economic growth,20
like,88.0,,fossil fuel,20
community,87.0,,obama green,20
solar,86.0,,energy program,19
manufacturing,86.0,,thank much,19
billion,86.0,,energy source,19
get,85.0,,job program,19
america,84.0,,development act,19
important,83.0,,look forward,18
help,83.0,,energy economy,18
employment,82.0,,oil gas,18
provide,82.0,,chairman issa,18
wind,82.0,,title xvii,17
future,81.0,,statement hon,17
workforce,81.0,,job going,17
use,80.0,,new energy,17
creation,79.0,,can not,17
resource,78.0,,public work,17
united,78.0,,lose job,17
fuel,76.0,,fossil energy,17
guarantee,75.0,,veteran green,17
question,74.0,,new significantly,16
could,73.0,,significantly improved,16
president,72.0,,good service,16
way,69.0,,energy project,16
oil,69.0,,reducing greenhouse,16
hearing,69.0,,national security,16
security,68.0,,efficiency renewable,16
statement,68.0,,energy workforce,16
public,68.0,,workforce development,16
plant,67.0,,job act,16
much,67.0,,job energy,16
number,67.0,,environment public,16
issue,66.0,,energy production,15
congres,66.0,,washington dc,15
say,66.0,,energy independence,15
coal,66.0,,good job,15
nation,65.0,,job job,15
environment,64.0,,low carbon,15
service,64.0,,clean air,15
company,64.0,,issue loan,14
administration,64.0,,employ new,14
labor,63.0,,improved technology,14
part,63.0,,wind solar,14
term,62.0,,job america,14
carbon,62.0,,solar panel,14
veteran,62.0,,long term,14
effort,60.0,,job growth,14
look,59.0,,million new,14
dollar,59.0,,called green,14
market,58.0,,bureau labor,14
study,58.0,,labor statistic,14
doe,58.0,,green new,14
dont,58.0,,economic development,13
goal,58.0,,emission greenhouse,13
come,57.0,,gas employ,13
go,57.0,,foreign oil,13
growth,56.0,,little bit,13
area,56.0,,net job,13
air,55.0,,carbon emission,13
first,55.0,,recovery act,13
local,55.0,,job lost,13
construction,55.0,,subcommittee green,13
home,55.0,,public health,13
nuclear,55.0,,new deal,13
back,55.0,,chairman rush,13
member,55.0,,new york,12
blue,55.0,,solar energy,12
fact,54.0,,energy industry,12
see,54.0,,new jersey,12
subcommittee,54.0,,green industry,12
source,54.0,,job think,12
take,54.0,,wind turbine,12
report,53.0,,energy future,12
thing,53.0,,committee environment,12
federal,53.0,,green good,12
environmental,53.0,,natural resource,12
level,52.0,,billion dollar,12
climate,52.0,,opening statement,12
subsidy,52.0,,research development,12
last,51.0,,lost job,11
high,51.0,,global warming,11
production,50.0,,reduce sequester,11
busines,50.0,,st century,11
even,50.0,,alternative energy,11
legislation,50.0,,low income,11
research,49.0,,department labor,11
lot,49.0,,acros country,11
right,49.0,,job bill,11
skill,49.0,,job reduce,11
obama,49.0,,waxman markey,11
benefit,48.0,,trade legislation,11
low,48.0,,taxpayer subsidy,11
said,48.0,,create new,11
funding,47.0,,nuclear energy,11
two,47.0,,definition green,11
office,47.0,,renewable subsidy,11
including,46.0,,energy resource,10
world,46.0,,project avoid,10
increase,46.0,,anthropogenic emission,10
example,46.0,,project eligible,10
include,46.0,,emission reduction,10
e,46.0,,energy bill,10
money,46.0,,tax incentive,10
trade,46.0,,get job,10
reduction,45.0,,america energy,10
impact,45.0,,dependence foreign,10
must,45.0,,nuclear power,10
efficient,45.0,,graphic available,10
saving,45.0,,million green,10
reducing,44.0,,energy price,10
innovation,44.0,,fiscal budget,10
plan,44.0,,madam chairman,10
taxpayer,44.0,,state local,10
change,43.0,,house representative,10
initiative,43.0,,offshore wind,10
natural,43.0,,job agenda,10
actually,43.0,,obama administration,10
electricity,42.0,,taxpayer dollar,10
really,42.0,,yield back,10
fund,42.0,,air act,10
put,41.0,,energy commerce,10
paying,41.0,,job soli,10
already,41.0,,creating new,9
hr,41.0,,technology compared,9
fiscal,40.0,,technology service,9
net,40.0,,service united,9
cap,40.0,,state time,9
soli,39.0,,time guarantee,9
believe,39.0,,guarantee issued,9
tax,39.0,,avoid reduce,9
result,38.0,,dont get,9
employ,38.0,,chairman thank,9
businesse,38.0,,percent energy,9
working,38.0,,many job,9
called,38.0,,make sure,9
fossil,38.0,,million million,9
global,37.0,,budget request,9
stimulu,37.0,,carbon energy,9
regulation,37.0,,job clean,9
significant,36.0,,stimulu package,9
vehicle,36.0,,young people,9
house,36.0,,number job,9
answer,36.0,,creation green,9
grant,36.0,,community college,9
sustainable,36.0,,cost job,9
potential,36.0,,assistance program,9
utility,36.0,,available tiff,9
found,36.0,,construction job,9
bu,36.0,,hearing subcommittee,9
washington,35.0,,red white,9
foreign,35.0,,white blue,9
electric,35.0,,blue job,9
generation,35.0,,job opportunity,9
ye,35.0,,skilled worker,9
family,35.0,,killing job,9
spending,35.0,,subcommittee energy,9
transition,35.0,,mechanical insulation,9
boxer,35.0,,energy agenda,9
epa,35.0,,pollutant greenhouse,8
price,34.0,,policy procedure,8
forward,34.0,,procedure establishing,8
great,34.0,,establishing credit,8
china,34.0,,credit review,8
talking,34.0,,review board,8
facility,34.0,,board planning,8
pay,34.0,,planning employ,8
critical,34.0,,employ outside,8
recovery,34.0,,outside expert,8
pollutant,33.0,,expert title,8
domestic,33.0,,xvii authorize,8
making,33.0,,authorize doe,8
budget,33.0,,doe issue,8
let,33.0,,guarantee project,8
thousand,33.0,,avoid sequester,8
infrastructure,33.0,,sequester reduce,8
little,33.0,,reduce air,8
health,33.0,,pollutant andor,8
improved,32.0,,andor anthropogenic,8
sure,32.0,,compared commercial,8
mean,32.0,,commercial technology,8
continue,32.0,,issued section,8
transportation,32.0,,section b,8
standard,32.0,,b list,8
acros,32.0,,list specific,8
kind,32.0,,specific category,8
long,32.0,,category project,8
demand,31.0,,eligible loan,8
lost,31.0,,job future,8
consumer,31.0,,economic opportunity,8
produce,31.0,,technology practice,8
incentive,31.0,,job initiative,8
wage,31.0,,employment opportunity,8
related,31.0,,thousand green,8
three,31.0,,job important,8
build,31.0,,federal government,8
end,31.0,,job need,8
career,30.0,,gas reduction,8
needed,30.0,,wind energy,8
testimony,30.0,,last week,8
city,30.0,,energy use,8
done,30.0,,grant program,8
move,30.0,,emission create,8
ask,30.0,,investment green,8
record,30.0,,sustainable energy,8
senate,30.0,,green investment,8
improve,30.0,,job economic,8
rate,30.0,,energy consumption,8
spain,30.0,,save energy,8
increasing,29.0,,gas pollution,8
point,29.0,,state energy,8
prepared,29.0,,environmental stewardship,8
since,29.0,,member committee,8
center,29.0,,jeff merkley,8
les,29.0,,kind job,8
talk,29.0,,thank madam,8
interest,29.0,,government publishing,8
system,28.0,,publishing office,8
title,28.0,,printed use,8
may,28.0,,use committee,8
per,28.0,,coal fired,8
small,28.0,,president biden,8
next,28.0,,job state,8
develop,28.0,,think green,8
give,28.0,,private sector,8
save,28.0,,energy water,8
every,28.0,,fuel cell,8
made,28.0,,local community,8
unemployment,28.0,,agenda killing,8
agenda,28.0,,count green,8
definition,28.0,,historical evidence,8
growing,27.0,,edith green,8
concern,27.0,,rationale renewable,8
large,27.0,,hr blue,8
available,27.0,,improving environment,7
sense,27.0,,emission creating,7
second,27.0,,new technology,7
effect,27.0,,small businesse,7
lose,27.0,,higher energy,7
data,27.0,,sequester air,7
rush,27.0,,energy system,7
hall,27.0,,policy act,7
increased,26.0,,project employ,7
science,26.0,,job dont,7
force,26.0,,dont want,7
grid,26.0,,job including,7
whether,26.0,,tax credit,7
something,26.0,,reduce dependence,7
education,26.0,,wind power,7
deal,26.0,,hundred thousand,7
product,26.0,,follow graphic,7
th,26.0,,renewable electricity,7
certainly,26.0,,cost consumer,7
additional,26.0,,mas transit,7
find,26.0,,time job,7
real,26.0,,many people,7
water,25.0,,energy national,7
pollution,25.0,,weatherization assistance,7
existing,25.0,,building retrofit,7
advanced,25.0,,job creating,7
quality,25.0,,energy green,7
together,25.0,,nation energy,7
meet,25.0,,full committee,7
agree,25.0,,met pursuant,7
madam,25.0,,building energy,7
category,24.0,,want thank,7
based,24.0,,metric ton,7
strong,24.0,,job losse,7
leadership,24.0,,full time,7
place,24.0,,black chamber,7
hon,24.0,,international association,7
employee,24.0,,clean economy,7
looking,24.0,,madam chair,7
ensure,24.0,,economy energy,7
hope,24.0,,tiff format,7
hundred,24.0,,congres first,7
invest,24.0,,first session,7
addres,24.0,,staff director,7
california,24.0,,million good,7
bl,24.0,,support green,7
alternative,23.0,,job les,7
activity,23.0,,green construction,7
competitivenes,23.0,,environmental protection,7
avoid,23.0,,solar power,7
significantly,23.0,,education training,7
using,23.0,,work together,7
higher,23.0,,energy doe,7
consumption,23.0,,epa greenhouse,7
train,23.0,,labor market,7
keep,23.0,,bu green,7
challenge,23.0,,traditional energy,7
sander,23.0,,job question,7
follow,23.0,,sonoma county,7
statistic,23.0,,subsidy make,7
agency,23.0,,cost energy,6
lower,23.0,,national laboratory,6
college,23.0,,energy development,6
seen,23.0,,technology avoid,6
without,22.0,,program doe,6
recently,22.0,,job good,6
toward,22.0,,job acros,6
encourage,22.0,,creating good,6
show,22.0,,short term,6
step,22.0,,efficiency program,6
commitment,22.0,,home state,6
income,22.0,,help reduce,6
traditional,22.0,,grew percent,6
focu,22.0,,economy green,6
analysi,22.0,,three time,6
used,22.0,,efficiency building,6
group,22.0,,job get,6
